iter	TotalF1	MultiClass
0	0.5693110286	1.349854434
1	0.7142028062	1.312853684
2	0.713263976	1.27768663
3	0.7350985788	1.251324304
4	0.7599065894	1.220873239
5	0.7718490889	1.190096333
6	0.7923123863	1.160822651
7	0.7837495828	1.137141224
8	0.7740194129	1.118873838
9	0.764899764	1.093804674
10	0.7711259778	1.071549483
11	0.7843920602	1.053691154
12	0.7813374363	1.034469755
13	0.7821385486	1.018387691
14	0.8029485	0.9959803598
15	0.7994074637	0.9761806063
16	0.8046657514	0.9631914607
17	0.8121814025	0.9486079041
18	0.8237043421	0.9328692961
19	0.8210356051	0.9172998659
20	0.8251153136	0.9076952537
21	0.8225027312	0.8931222202
22	0.826109499	0.879903215
23	0.8291941783	0.8696589049
24	0.8359370291	0.8530594953
25	0.8402870366	0.8416068758
26	0.8395554231	0.8300388325
27	0.8440988611	0.8174565013
28	0.8447040808	0.8025444534
29	0.8491465281	0.7926893608
30	0.8530318482	0.7860515164
31	0.8495928692	0.7739504075
32	0.8526844204	0.7627398652
33	0.8557352767	0.7563150196
34	0.8587006411	0.7498322886
35	0.8620966407	0.7388230425
36	0.8634124864	0.7291960469
37	0.8698145679	0.7201959949
38	0.8710224739	0.7117318235
39	0.8739201826	0.7035634893
40	0.8781863765	0.6956178338
41	0.8742957911	0.6884819416
42	0.876928916	0.6808539579
43	0.8800197914	0.6701946844
44	0.8809550531	0.6645831353
45	0.8823544453	0.6580793758
46	0.885572613	0.6518545182
47	0.885943361	0.6446634864
48	0.8867974316	0.6389527993
49	0.8910145375	0.6311670991
50	0.8929728114	0.6212348363
51	0.8965305527	0.6175359828
52	0.8952190829	0.6127612172
53	0.8958662843	0.6076415713
54	0.8996941917	0.6001604585
55	0.8991105328	0.5922067666
56	0.9000206472	0.5873481202
57	0.9006554784	0.5778288118
58	0.902913911	0.5738422063
59	0.9031790304	0.5680844134
60	0.9044708641	0.5649891182
61	0.9047777418	0.5605696579
62	0.9080233207	0.5540894037
63	0.9044731459	0.5506925606
64	0.9057989832	0.5466957676
65	0.9063746245	0.544216569
66	0.9077037764	0.5398602313
67	0.9079841609	0.5343123271
68	0.908992631	0.5300636896
69	0.9124501601	0.5252105812
70	0.9117987728	0.5212137207
71	0.9153318871	0.5185679384
72	0.9147286963	0.5149949217
73	0.9150013578	0.512231828
74	0.9156400949	0.508630208
75	0.9153449125	0.5031231542
76	0.9153449125	0.50087899
77	0.9165868969	0.4967131666
78	0.9153095023	0.4935413038
79	0.9172253212	0.4881226996
80	0.9178635716	0.4835381031
81	0.9188311211	0.4812314384
82	0.9200714481	0.4778560799
83	0.9200714481	0.4737323681
84	0.9216178401	0.4712311703
85	0.9197414017	0.4688250091
86	0.9215977374	0.4652675678
87	0.9206889331	0.462338195
88	0.9206889331	0.4604632028
89	0.9209976654	0.4568155904
90	0.9222355836	0.4519675542
91	0.9222296673	0.4480600287
92	0.9222355836	0.4461106749
93	0.9235042374	0.4432713729
94	0.9225579262	0.4400068986
95	0.9222488162	0.4385483586
96	0.9216115484	0.4321487567
97	0.9206454989	0.4279912925
98	0.9212831375	0.42527789
99	0.9216225034	0.4222991357
100	0.9212831375	0.4188676138
101	0.9219267155	0.416520241
102	0.9235199548	0.4142371129
103	0.9241079545	0.4122006418
104	0.9235199548	0.409142906
105	0.9247529037	0.4070480121
106	0.9253710659	0.4052019538
107	0.9247931506	0.4011391973
108	0.9251021959	0.3964213227
109	0.9245063974	0.3956590867
110	0.9245063974	0.3927610523
111	0.9257643469	0.3897277106
112	0.9278853397	0.3875501415
113	0.9272650312	0.3848639226
114	0.9269557383	0.383124048
115	0.9281714701	0.3817267679
116	0.9291237736	0.3791332754
117	0.9297576342	0.3772089734
118	0.9297576342	0.3749375315
119	0.9288143872	0.3727262884
120	0.9291313033	0.3705087183
121	0.9294562589	0.3678339989
122	0.9294732001	0.3660109733
123	0.9294732001	0.364459224
124	0.9291563364	0.3627878124
125	0.9294809224	0.3601356501
126	0.9297435091	0.3577623585
127	0.9297435091	0.3563703477
128	0.9297435091	0.3544832214
129	0.9313224707	0.3523534304
130	0.9310053251	0.3496447567
131	0.9303709589	0.3483031555
132	0.9303709589	0.3468104276
133	0.9319089609	0.3445060223
134	0.9325424044	0.3433039319
135	0.9319089609	0.3409882909
136	0.9322186498	0.338502842
137	0.9328124753	0.3364085344
138	0.9328124753	0.3350854906
139	0.9350241698	0.3334447677
140	0.9343914541	0.3314565559
141	0.9343914541	0.3299215368
142	0.9350241698	0.3283159527
143	0.9356183564	0.327220632
144	0.9361600182	0.3239417712
145	0.9374258672	0.3224968533
146	0.9371035343	0.3202149435
147	0.9377364397	0.3179737607
148	0.9374258672	0.3171114822
149	0.9386417944	0.3151437564
150	0.9392716226	0.3139129046
151	0.9395828225	0.3128957433
152	0.9389569671	0.3098530582
153	0.9414313934	0.3084777139
154	0.943003101	0.3061552231
155	0.9436023726	0.3044158297
156	0.9436023726	0.3037774691
157	0.9439133541	0.3020484289
158	0.9445454049	0.2999284416
159	0.9439157573	0.2988042545
160	0.9442269678	0.2968813857
161	0.9451385189	0.2953380371
162	0.9442417152	0.2940843906
163	0.9451461081	0.2922311084
164	0.9463982893	0.2908382459
165	0.9460868371	0.2899548065
166	0.9454569936	0.2875424337
167	0.9454936583	0.2862491839
168	0.9448200487	0.2840774173
169	0.9448200487	0.282189878
170	0.9457681426	0.280994187
171	0.9457681426	0.2801305609
172	0.9451773546	0.2775091401
173	0.9451773546	0.2763094113
174	0.9463610582	0.2747154884
175	0.9463610582	0.2737380087
176	0.9463610582	0.2727578842
177	0.9454202578	0.2717820034
178	0.9454202578	0.2698739979
179	0.9463250079	0.2678738575
180	0.946013804	0.2660552652
181	0.946013804	0.2648181682
182	0.9463250079	0.2634505831
183	0.9463250079	0.2626618872
184	0.9469185366	0.2607245564
185	0.9478647073	0.2595185264
186	0.9491151212	0.2577203771
187	0.9487995966	0.256704446
188	0.9484879729	0.2556590933
189	0.9497030722	0.2541445972
190	0.9493914	0.2533866239
191	0.9497030722	0.2515548887
192	0.9502975725	0.2505784196
193	0.9505800689	0.2494492664
194	0.9527057165	0.2473823931
