iter	Passed	Remaining
0	137	137322
1	155	77360
2	176	58662
3	191	47601
4	209	41749
5	220	36523
6	236	33570
7	252	31273
8	267	29414
9	280	27792
10	295	26531
11	306	25252
12	321	24396
13	334	23579
14	349	22942
15	365	22480
16	381	22083
17	396	21637
18	417	21580
19	437	21451
20	451	21055
21	463	20604
22	483	20533
23	501	20392
24	518	20211
25	533	19974
26	547	19715
27	562	19514
28	577	19335
29	593	19183
30	611	19112
31	628	19009
32	643	18871
33	660	18753
34	676	18661
35	693	18583
36	712	18551
37	728	18443
38	747	18424
39	760	18261
40	777	18182
41	793	18099
42	808	18000
43	825	17934
44	842	17885
45	859	17830
46	877	17789
47	897	17801
48	913	17721
49	930	17678
50	943	17552
51	959	17488
52	975	17436
53	991	17362
54	1009	17352
55	1024	17275
56	1040	17219
57	1056	17163
58	1073	17123
59	1087	17039
60	1102	16977
61	1119	16942
62	1135	16890
63	1153	16876
64	1171	16845
65	1186	16795
66	1204	16776
67	1221	16739
68	1237	16693
69	1255	16682
70	1274	16674
71	1288	16609
72	1302	16535
73	1316	16469
74	1329	16401
75	1341	16307
76	1356	16262
77	1371	16215
78	1387	16177
79	1404	16149
80	1421	16126
81	1445	16179
82	1471	16261
83	1498	16341
84	1523	16394
85	1535	16318
86	1550	16271
87	1572	16298
88	1594	16323
89	1612	16307
90	1624	16228
91	1635	16140
92	1647	16070
93	1662	16028
94	1675	15964
95	1688	15896
96	1701	15843
97	1713	15772
98	1726	15714
99	1738	15648
100	1751	15592
101	1766	15549
102	1779	15495
103	1792	15444
104	1807	15406
105	1818	15334
106	1828	15262
107	1842	15216
108	1855	15165
109	1866	15097
110	1877	15035
111	1892	15005
112	1907	14973
113	1919	14921
114	1931	14860
115	1944	14815
116	1957	14770
117	1968	14710
118	1982	14677
119	1998	14654
120	2012	14617
121	2024	14573
122	2037	14525
123	2047	14467
124	2059	14413
125	2074	14391
126	2089	14360
127	2101	14314
128	2114	14276
129	2124	14220
130	2138	14185
131	2151	14148
132	2162	14094
133	2173	14046
134	2185	14006
135	2197	13960
136	2209	13919
137	2224	13896
138	2239	13873
139	2253	13844
140	2269	13827
141	2283	13799
142	2295	13758
143	2307	13714
144	2319	13678
145	2332	13643
146	2342	13593
147	2355	13558
148	2367	13522
149	2379	13484
150	2389	13436
151	2402	13402
152	2414	13368
153	2428	13340
154	2440	13302
155	2452	13266
156	2464	13231
157	2475	13194
158	2488	13163
159	2503	13141
160	2517	13116
161	2530	13087
162	2541	13052
163	2552	13011
164	2564	12980
165	2578	12953
166	2590	12919
167	2601	12884
168	2615	12859
169	2628	12833
170	2639	12795
171	2650	12760
172	2663	12732
173	2675	12702
174	2686	12663
175	2698	12631
176	2711	12606
177	2722	12573
178	2737	12555
179	2749	12524
180	2764	12509
181	2776	12480
182	2791	12464
183	2803	12433
184	2815	12403
185	2828	12378
186	2841	12352
187	2852	12318
188	2863	12287
189	2877	12265
190	2890	12244
191	2902	12213
192	2916	12195
193	2929	12171
194	2943	12152
195	2956	12127
196	2969	12105
197	2988	12106
198	3006	12102
199	3024	12097
200	3042	12094
201	3058	12083
202	3072	12061
203	3087	12045
204	3099	12019
205	3111	11992
206	3123	11967
207	3137	11947
208	3150	11922
209	3165	11908
210	3177	11883
211	3193	11869
212	3206	11848
213	3220	11829
214	3235	11813
215	3247	11788
216	3268	11793
217	3291	11808
218	3307	11795
219	3326	11792
220	3342	11780
221	3357	11767
222	3373	11753
223	3387	11733
224	3400	11713
225	3412	11686
226	3423	11658
227	3437	11640
228	3453	11627
229	3469	11613
230	3482	11594
231	3497	11577
232	3509	11551
233	3522	11532
234	3536	11513
235	3550	11495
236	3565	11479
237	3580	11462
238	3593	11442
239	3606	11420
240	3620	11402
241	3634	11384
242	3649	11369
243	3663	11349
244	3677	11333
245	3689	11307
246	3702	11288
247	3719	11277
248	3732	11258
249	3746	11240
250	3766	11240
251	3783	11229
252	3798	11215
253	3814	11203
254	3829	11187
255	3841	11164
256	3856	11150
